Model, Load, L, L11, T, T1, h4, T2, W3, Treatment Combo, SAV (1/cm), Max Mises Stress (MPa), Max Displacement (cm), Max Strain, Node 1 Displacement (cm), Node 2 Displacement (cm)
1, 2, 14.0, 0.4, 0.2, 0.1, 1.2, 0.15, 0.2, , 91.454, 177.4, 2.893, 0.0396, 2.677, 2.893
2, 2, 14.0, 0.4, 0.2, 0.1, 1.2, 0.15, 0.4, g, 91.004, 146.2, 2.239, 0.0356, 2.096, 2.239
3, 2, 14.0, 0.4, 0.2, 0.1, 1.2, 0.35, 0.2, f, 59.544, 110.1, 1.522, 0.0319, 1.441, 1.521
4, 2, 14.0, 0.4, 0.2, 0.1, 1.2, 0.35, 0.4, fg, 61.463, 90.9, 1.170, 0.0259, 1.111, 1.170
5, 2, 14.0, 0.4, 0.2, 0.1, 1.8, 0.15, 0.2, e, 93.012, 179.4, 3.273, 0.0408, 3.075, 3.273
6, 2, 14.0, 0.4, 0.2, 0.1, 1.8, 0.15, 0.4, eg, 93.113, 151.1, 2.573, 0.0355, 2.438, 2.573
7, 2, 14.0, 0.4, 0.2, 0.1, 1.8, 0.35, 0.2, ef, 60.074, 117.1, 1.710, 0.0332, 1.633, 1.710
8, 2, 14.0, 0.4, 0.2, 0.1, 1.8, 0.35, 0.4, efg, 62.240, 90.4, 1.336, 0.0255, 1.282, 1.336
9, 2, 14.0, 0.4, 0.2, 0.4, 1.2, 0.15, 0.2, d, 33.831, 158.2, 1.896, 0.0177, 1.890, 1.896
10, 2, 14.0, 0.4, 0.2, 0.4, 1.2, 0.15, 0.4, dg, 32.598, 90.0, 1.302, 0.0123, 1.299, 1.302
11, 2, 14.0, 0.4, 0.2, 0.4, 1.2, 0.35, 0.2, df, 29.615, 82.3, 1.116, 0.0140, 1.109, 1.116
12, 2, 14.0, 0.4, 0.2, 0.4, 1.2, 0.35, 0.4, dfg, 29.048, 51.8, 0.773, 0.0103, 0.768, 0.772
13, 2, 14.0, 0.4, 0.2, 0.4, 1.8, 0.15, 0.2, de, 35.111, 160.3, 2.173, 0.0170, 2.167, 2.173
14, 2, 14.0, 0.4, 0.2, 0.4, 1.8, 0.15, 0.4, deg, 33.914, 102.8, 1.522, 0.0109, 1.517, 1.521
15, 2, 14.0, 0.4, 0.2, 0.4, 1.8, 0.35, 0.2, def, 30.476, 83.6, 1.273, 0.0141, 1.266, 1.273
16, 2, 14.0, 0.4, 0.2, 0.4, 1.8, 0.35, 0.4, defg, 29.982, 53.5, 0.895, 0.0096, 0.889, 0.895
17, 2, 14.0, 0.4, 0.4, 0.1, 1.2, 0.15, 0.2, c, 43.022, 37.4, 0.262, 0.0106, 0.223, 0.262
18, 2, 14.0, 0.4, 0.4, 0.1, 1.2, 0.15, 0.4, cg, 42.711, 28.2, 0.219, 0.0081, 0.191, 0.219
19, 2, 14.0, 0.4, 0.4, 0.1, 1.2, 0.35, 0.2, cf, 24.551, 25.8, 0.131, 0.0074, 0.119, 0.131
20, 2, 14.0, 0.4, 0.4, 0.1, 1.2, 0.35, 0.4, cfg, 25.047, 15.8, 0.090, 0.0044, 0.085, 0.090
21, 2, 14.0, 0.4, 0.4, 0.1, 1.8, 0.15, 0.2, ce, 43.588, 38.5, 0.295, 0.0108, 0.257, 0.295
22, 2, 14.0, 0.4, 0.4, 0.1, 1.8, 0.15, 0.4, ceg, 43.692, 27.9, 0.243, 0.0079, 0.217, 0.243
23, 2, 14.0, 0.4, 0.4, 0.1, 1.8, 0.35, 0.2, cef, 24.674, 22.9, 0.148, 0.0064, 0.137, 0.148
