Model, Load, L, L11, T, T1, h4, T2, h7, Treatment Combo, Max Mises Stress (Pa), Max Displacement (cm), Max Strain, Node 1 Displacement (cm), Node 2 Displacement (cm), SAV (1/cm)
1, 1, 14.0, 0.4, 0.2, 0.1, 1.2, 0.15, 0.0, , 2787245056, 2.8032, 0.3782, 2.1615, 2.1433, 91.13412
2, 1, 14.0, 0.4, 0.2, 0.1, 1.2, 0.15, 0.6, g, 2253802496, 2.0557, 0.3166, 1.5148, 1.3295, 90.17465
3, 1, 14.0, 0.4, 0.2, 0.1, 1.2, 0.35, 0.0, f, 1478250112, 1.6607, 0.2598, 1.3008, 1.2953, 60.52772
4, 1, 14.0, 0.4, 0.2, 0.1, 1.2, 0.35, 0.6, fg, 1298178560, 1.1907, 0.2420, 0.9064, 0.8044, 59.95700
5, 1, 14.0, 0.4, 0.2, 0.1, 1.8, 0.15, 0.0, e, 4022024448, 5.6924, 0.6258, 4.2097, 5.5709, 94.13354
6, 1, 14.0, 0.4, 0.2, 0.1, 1.8, 0.15, 0.6, eg, 3096156416, 3.4571, 0.4673, 2.5086, 3.1402, 92.09195
7, 1, 14.0, 0.4, 0.2, 0.1, 1.8, 0.35, 0.0, ef, 2392086016, 3.3739, 0.4804, 2.5496, 3.3632, 61.70735
8, 1, 14.0, 0.4, 0.2, 0.1, 1.8, 0.35, 0.6, efg, 2222026752, 2.0208, 0.3794, 1.5047, 1.8871, 60.46496
9, 1, 14.0, 0.4, 0.2, 0.4, 1.2, 0.15, 0.0, d, 969802688, 0.9066, 0.1211, 0.8527, 0.8563, 33.39589
10, 1, 14.0, 0.4, 0.2, 0.4, 1.2, 0.15, 0.6, dg, 1097085312, 0.5928, 0.1560, 0.5656, 0.4917, 32.98056
11, 1, 14.0, 0.4, 0.2, 0.4, 1.2, 0.35, 0.0, df, 564568704, 0.6378, 0.0902, 0.5925, 0.5911, 29.42121
12, 1, 14.0, 0.4, 0.2, 0.4, 1.2, 0.35, 0.6, dfg, 424908032, 0.4161, 0.0911, 0.3933, 0.3404, 29.07864
13, 1, 14.0, 0.4, 0.2, 0.4, 1.8, 0.15, 0.0, de, 2333244928, 2.2649, 0.4534, 1.6489, 2.2624, 35.04930
14, 1, 14.0, 0.4, 0.2, 0.4, 1.8, 0.15, 0.6, deg, 1308261376, 1.1811, 0.1668, 0.9166, 1.1811, 34.18716
15, 1, 14.0, 0.4, 0.2, 0.4, 1.8, 0.35, 0.0, def, 858160704, 1.5507, 0.1237, 1.1435, 1.5481, 30.59032
16, 1, 14.0, 0.4, 0.2, 0.4, 1.8, 0.35, 0.6, defg, 706780160, 0.8047, 0.1252, 0.6346, 0.8047, 29.87287
17, 1, 14.0, 0.4, 0.4, 0.1, 1.2, 0.15, 0.0, c, 520885728, 0.2795, 0.0713, 0.2144, 0.2225, 42.88763
18, 1, 14.0, 0.4, 0.4, 0.1, 1.2, 0.15, 0.6, cg, 534397216, 0.1869, 0.0699, 0.1447, 0.1368, 42.52480
19, 1, 14.0, 0.4, 0.4, 0.1, 1.2, 0.35, 0.0, cf, 355630528, 0.1796, 0.0462, 0.1343, 0.1412, 25.00804
20, 1, 14.0, 0.4, 0.4, 0.1, 1.2, 0.35, 0.6, cfg, 336119104, 0.1203, 0.0485, 0.0910, 0.0881, 24.79946
21, 1, 14.0, 0.4, 0.4, 0.1, 1.8, 0.15, 0.0, ce, 982598272, 0.5661, 0.1284, 0.4190, 0.5631, 43.60447
22, 1, 14.0, 0.4, 0.4, 0.1, 1.8, 0.15, 0.6, ceg, 797624064, 0.3191, 0.1166, 0.2376, 0.3056, 42.85448
23, 1, 14.0, 0.4, 0.4, 0.1, 1.8, 0.35, 0.0, cef, 543081536, 0.3637, 0.0756, 0.2638, 0.3548, 25.20866
24, 1, 14.0, 0.4, 0.4, 0.1, 1.8, 0.35, 0.6, cefg, 437158976, 0.1978, 0.0682, 0.1490, 0.1935, 24.77799
25, 1, 14.0, 0.4, 0.4, 0.4, 1.2, 0.15, 0.0, cd, 226584592, 0.0952, 0.0314, 0.0882, 0.0918, 19.40194
26, 1, 14.0, 0.4, 0.4, 0.4, 1.2, 0.15, 0.6, cdg, 187901680, 0.0614, 0.0275, 0.0579, 0.0537, 19.21204
27, 1, 14.0, 0.4, 0.4, 0.4, 1.2, 0.35, 0.0, cdf, 147285968, 0.0652, 0.0157, 0.0593, 0.0624, 15.66766
28, 1, 14.0, 0.4, 0.4, 0.4, 1.2, 0.35, 0.6, cdfg, 113353304, 0.0420, 0.0171, 0.0388, 0.0371, 15.51975
29, 1, 14.0, 0.4, 0.4, 0.4, 1.8, 0.15, 0.0, cde, 336710848, 0.2336, 0.0491, 0.1685, 0.2329, 20.16628
30, 1, 14.0, 0.4, 0.4, 0.4, 1.8, 0.15, 0.6, cdeg, 284263040, 0.1214, 0.0416, 0.0929, 0.1214, 19.77699
31, 1, 14.0, 0.4, 0.4, 0.4, 1.8, 0.35, 0.0, cdef, 274079616, 0.1576, 0.0255, 0.1139, 0.1569, 16.06900
32, 1, 14.0, 0.4, 0.4, 0.4, 1.8, 0.35, 0.6, cdefg, 173703840, 0.0816, 0.0225, 0.0620, 0.0816, 15.76591
33, 1, 14.0, 0.56, 0.2, 0.1, 1.2, 0.15, 0.0, b, 2250360576, 2.4345, 0.2728, 1.4908, 1.7065, 91.58017
34, 1, 14.0, 0.56, 0.2, 0.1, 1.2, 0.15, 0.6, bg, 2221974272, 2.1470, 0.2634, 1.2160, 1.2928, 90.88187
35, 1, 14.0, 0.56, 0.2, 0.1, 1.2, 0.35, 0.0, bf, 1177342592, 1.4778, 0.2035, 0.9095, 1.0455, 60.50492
36, 1, 14.0, 0.56, 0.2, 0.1, 1.2, 0.35, 0.6, bfg, 1069028352, 1.2486, 0.2040, 0.7387, 0.7929, 60.15052
37, 1, 14.0, 0.56, 0.2, 0.1, 1.8, 0.15, 0.0, be, 3008191488, 4.6248, 0.4453, 2.7300, 4.2573, 94.81804
38, 1, 14.0, 0.56, 0.2, 0.1, 1.8, 0.15, 0.6, beg, 3049914112, 3.5749, 0.4365, 2.0142, 3.0545, 93.29938
39, 1, 14.0, 0.56, 0.2, 0.1, 1.8, 0.35, 0.0, bef, 1887106176, 2.7191, 0.2996, 1.6579, 2.5751, 61.73623
40, 1, 14.0, 0.56, 0.2, 0.1, 1.8, 0.35, 0.6, befg, 1913027328, 2.0729, 0.3230, 1.2161, 1.8455, 60.89741
41, 1, 14.0, 0.56, 0.2, 0.4, 1.2, 0.15, 0.0, bd, 818454848, 0.8144, 0.0997, 0.6427, 0.7483, 34.12420
42, 1, 14.0, 0.56, 0.2, 0.4, 1.2, 0.15, 0.6, bdg, 753214272, 0.6200, 0.0946, 0.4950, 0.5233, 33.78240
43, 1, 14.0, 0.56, 0.2, 0.4, 1.2, 0.35, 0.0, bdf, 459745152, 0.5714, 0.0827, 0.4460, 0.5156, 29.97053
44, 1, 14.0, 0.56, 0.2, 0.4, 1.2, 0.35, 0.6, bdfg, 349256032, 0.4393, 0.0721, 0.3445, 0.3626, 29.70880
45, 1, 14.0, 0.56, 0.2, 0.4, 1.8, 0.15, 0.0, bde, 1229271040, 1.9028, 0.1738, 1.1643, 1.9017, 35.88702
46, 1, 14.0, 0.56, 0.2, 0.4, 1.8, 0.15, 0.6, bdeg, 1172548608, 1.2505, 0.1532, 0.7919, 1.2505, 35.18408
47, 1, 14.0, 0.56, 0.2, 0.4, 1.8, 0.35, 0.0, bdef, 667084608, 1.2974, 0.1116, 0.8049, 1.2959, 31.18766
48, 1, 14.0, 0.56, 0.2, 0.4, 1.8, 0.35, 0.6, bdefg, 641275008, 0.8549, 0.1180, 0.5502, 0.8548, 30.63408
49, 1, 14.0, 0.56, 0.4, 0.1, 1.2, 0.15, 0.0, bc, 458624352, 0.2477, 0.0531, 0.1503, 0.1808, 43.24084
50, 1, 14.0, 0.56, 0.4, 0.1, 1.2, 0.15, 0.6, bcg, 478012544, 0.1947, 0.0616, 0.1176, 0.1338, 42.97383
51, 1, 14.0, 0.56, 0.4, 0.1, 1.2, 0.35, 0.0, bcf, 294960736, 0.1586, 0.0411, 0.0933, 0.1136, 25.04376
52, 1, 14.0, 0.56, 0.4, 0.1, 1.2, 0.35, 0.6, bcfg, 315136768, 0.1263, 0.0403, 0.0736, 0.0856, 24.90043
53, 1, 14.0, 0.56, 0.4, 0.1, 1.8, 0.15, 0.0, bce, 778279872, 0.4660, 0.0972, 0.2757, 0.4350, 44.16414
54, 1, 14.0, 0.56, 0.4, 0.1, 1.8, 0.15, 0.6, bceg, 731128896, 0.3253, 0.0930, 0.1927, 0.2979, 43.59932
55, 1, 14.0, 0.56, 0.4, 0.1, 1.8, 0.35, 0.0, bcef, 457253568, 0.2979, 0.0554, 0.1718, 0.2713, 25.20195
56, 1, 14.0, 0.56, 0.4, 0.1, 1.8, 0.35, 0.6, bcefg, 427762496, 0.2053, 0.0624, 0.1205, 0.1879, 24.89180
57, 1, 14.0, 0.56, 0.4, 0.4, 1.2, 0.15, 0.0, bcd, 152352608, 0.0855, 0.0216, 0.0669, 0.0815, 20.00659
58, 1, 14.0, 0.56, 0.4, 0.4, 1.2, 0.15, 0.6, bcdg, 140646320, 0.0639, 0.0205, 0.0510, 0.0574, 19.85235
59, 1, 14.0, 0.56, 0.4, 0.4, 1.2, 0.35, 0.0, bcdf, 113771168, 0.0590, 0.0120, 0.0449, 0.0551, 16.05066
60, 1, 14.0, 0.56, 0.4, 0.4, 1.2, 0.35, 0.6, bcdfg, 126345440, 0.0443, 0.0153, 0.0341, 0.0393, 15.93846
61, 1, 14.0, 0.56, 0.4, 0.4, 1.8, 0.15, 0.0, bcde, 298469632, 0.1979, 0.0387, 0.1197, 0.1975, 20.85652
62, 1, 14.0, 0.56, 0.4, 0.4, 1.8, 0.15, 0.6, bcdeg, 220874064, 0.1289, 0.0319, 0.0807, 0.1289, 20.54170
63, 1, 14.0, 0.56, 0.4, 0.4, 1.8, 0.35, 0.0, bcdef, 198283456, 0.1324, 0.0191, 0.0806, 0.1320, 16.41007
64, 1, 14.0, 0.56, 0.4, 0.4, 1.8, 0.35, 0.6, bcdefg, 175158080, 0.0862, 0.0204, 0.0539, 0.0862, 16.17678
65, 1, 20.0, 0.4, 0.2, 0.1, 1.2, 0.15, 0.0, a, 3145366784, 4.4152, 0.3488, 3.4653, 2.5243, 89.77915
66, 1, 20.0, 0.4, 0.2, 0.1, 1.2, 0.15, 0.6, ag, 2765255168, 3.5772, 0.3193, 2.6657, 1.6661, 89.31795
67, 1, 20.0, 0.4, 0.2, 0.1, 1.2, 0.35, 0.0, af, 1265212032, 2.7064, 0.2799, 2.1284, 1.5657, 59.82682
68, 1, 20.0, 0.4, 0.2, 0.1, 1.2, 0.35, 0.6, afg, 1280952448, 2.1584, 0.2675, 1.6367, 1.0394, 59.59627
69, 1, 20.0, 0.4, 0.2, 0.1, 1.8, 0.15, 0.0, ae, 4000197888, 7.8151, 0.5556, 6.0209, 6.1489, 91.95670
70, 1, 20.0, 0.4, 0.2, 0.1, 1.8, 0.15, 0.6, aeg, 3847449856, 5.7561, 0.4963, 4.2468, 3.8516, 90.92541
71, 1, 20.0, 0.4, 0.2, 0.1, 1.8, 0.35, 0.0, aef, 2145527680, 4.7179, 0.4266, 3.6815, 3.7688, 60.79551
72, 1, 20.0, 0.4, 0.2, 0.1, 1.8, 0.35, 0.6, aefg, 1914014464, 3.4200, 0.3991, 2.5829, 2.3602, 60.22477
73, 1, 20.0, 0.4, 0.2, 0.4, 1.2, 0.15, 0.0, ad, 1129514368, 1.5616, 0.1517, 1.4691, 1.0725, 32.49987
74, 1, 20.0, 0.4, 0.2, 0.4, 1.2, 0.15, 0.6, adg, 1070632000, 1.1285, 0.1644, 1.0611, 0.6459, 32.27466
75, 1, 20.0, 0.4, 0.2, 0.4, 1.2, 0.35, 0.0, adf, 573423744, 1.0823, 0.0983, 1.0128, 0.7372, 28.74530
76, 1, 20.0, 0.4, 0.2, 0.4, 1.2, 0.35, 0.6, adfg, 381992576, 0.7888, 0.0957, 0.7352, 0.4478, 28.57212
77, 1, 20.0, 0.4, 0.2, 0.4, 1.8, 0.15, 0.0, ade, 1800201600, 2.7209, 0.2967, 2.5375, 2.6334, 33.51812
78, 1, 20.0, 0.4, 0.2, 0.4, 1.8, 0.15, 0.6, adeg, 1499599232, 1.7610, 0.2022, 1.6648, 1.5010, 33.04965
79, 1, 20.0, 0.4, 0.2, 0.4, 1.8, 0.35, 0.0, adef, 807439552, 1.8794, 0.1394, 1.7445, 1.7948, 29.49229
80, 1, 20.0, 0.4, 0.2, 0.4, 1.8, 0.35, 0.6, adefg, 692636032, 1.2265, 0.1250, 1.1498, 1.0278, 29.11885
81, 1, 20.0, 0.4, 0.4, 0.1, 1.2, 0.15, 0.0, ac, 555288512, 0.4348, 0.0842, 0.3359, 0.2597, 42.42917
82, 1, 20.0, 0.4, 0.4, 0.1, 1.2, 0.15, 0.6, acg, 555657280, 0.3278, 0.0841, 0.2510, 0.1718, 42.25144
83, 1, 20.0, 0.4, 0.4, 0.1, 1.2, 0.35, 0.0, acf, 417218304, 0.2842, 0.0603, 0.2148, 0.1696, 24.81653
84, 1, 20.0, 0.4, 0.4, 0.1, 1.2, 0.35, 0.6, acfg, 341957888, 0.2154, 0.0576, 0.1614, 0.1138, 24.72224
85, 1, 20.0, 0.4, 0.4, 0.1, 1.8, 0.15, 0.0, ace, 911973312, 0.7650, 0.1490, 0.5823, 0.6085, 43.12693
86, 1, 20.0, 0.4, 0.4, 0.1, 1.8, 0.15, 0.6, aceg, 852599168, 0.5237, 0.1233, 0.3937, 0.3710, 42.73840
87, 1, 20.0, 0.4, 0.4, 0.1, 1.8, 0.35, 0.0, acef, 541387520, 0.4967, 0.0831, 0.3705, 0.3913, 25.03626
88, 1, 20.0, 0.4, 0.4, 0.1, 1.8, 0.35, 0.6, acefg, 513831584, 0.3346, 0.0882, 0.2511, 0.2413, 24.82417
89, 1, 20.0, 0.4, 0.4, 0.4, 1.2, 0.15, 0.0, acd, 209300240, 0.1583, 0.0410, 0.1471, 0.1122, 18.93155
90, 1, 20.0, 0.4, 0.4, 0.4, 1.2, 0.15, 0.6, acdg, 182952176, 0.1130, 0.0280, 0.1052, 0.0692, 18.82930
91, 1, 20.0, 0.4, 0.4, 0.4, 1.2, 0.35, 0.0, acdf, 167880368, 0.1078, 0.0200, 0.0987, 0.0769, 15.39046
92, 1, 20.0, 0.4, 0.4, 0.4, 1.2, 0.35, 0.6, acdfg, 134336112, 0.0774, 0.0194, 0.0708, 0.0484, 15.31589
93, 1, 20.0, 0.4, 0.4, 0.4, 1.8, 0.15, 0.0, acde, 288497984, 0.2759, 0.0366, 0.2533, 0.2657, 19.42997
94, 1, 20.0, 0.4, 0.4, 0.4, 1.8, 0.15, 0.6, acdeg, 264189600, 0.1755, 0.0399, 0.1639, 0.1513, 19.21789
95, 1, 20.0, 0.4, 0.4, 0.4, 1.8, 0.35, 0.0, acdef, 226958480, 0.1877, 0.0285, 0.1699, 0.1793, 15.66916
96, 1, 20.0, 0.4, 0.4, 0.4, 1.8, 0.35, 0.6, acdefg, 200366848, 0.1198, 0.0249, 0.1099, 0.1033, 15.51057
97, 1, 20.0, 0.56, 0.2, 0.1, 1.2, 0.15, 0.0, ab, 2066922880, 3.9768, 0.2541, 2.4363, 2.0329, 90.44838
