Load, Score, SAV (1/cm), Max Mises Stress (MPa), Node 1 Displacement (cm), Node 2 Displacement (cm)
1, -43.214, 43.214, 38.9, 0.021, 0.024
2, 1.147, 43.214, 62.6, 0.373, 0.540
1, -42.060, 42.060, 36.7, 0.020, 0.022
2, 1.109, 42.060, 60.5, 0.341, 0.495
1, -43.202, 43.202, 38.9, 0.021, 0.024
2, 1.147, 43.202, 62.5, 0.372, 0.539
1, -43.205, 43.205, 38.9, 0.021, 0.024
2, 1.149, 43.205, 62.7, 0.372, 0.539
1, -43.214, 43.214, 38.2, 0.021, 0.024
2, 1.138, 43.214, 62.1, 0.373, 0.540
1, -43.214, 43.214, 38.9, 0.021, 0.024
2, 1.141, 43.214, 62.2, 0.373, 0.540
1, -42.827, 42.827, 38.6, 0.021, 0.024
2, 1.125, 42.827, 61.3, 0.362, 0.524
1, -42.692, 42.692, 38.8, 0.021, 0.023
2, 1.109, 42.692, 60.5, 0.358, 0.519
1, -42.435, 42.435, 38.8, 0.020, 0.023
2, 1.116, 42.435, 60.9, 0.351, 0.510
1, -42.535, 42.535, 38.5, 0.020, 0.023
2, 1.114, 42.535, 60.8, 0.353, 0.513
1, -42.302, 42.302, 38.1, 0.020, 0.023
2, 1.100, 42.302, 60.0, 0.347, 0.504
1, -41.860, 41.860, 37.3, 0.019, 0.022
2, 1.119, 41.860, 61.0, 0.335, 0.488
1, -42.006, 42.006, 38.4, 0.020, 0.022
2, 1.111, 42.006, 60.6, 0.339, 0.493
1, -41.617, 41.617, 37.7, 0.019, 0.022
2, 1.092, 41.617, 59.6, 0.329, 0.479
1, -40.860, 40.860, 35.3, 0.018, 0.021
2, 1.046, 40.860, 57.0, 0.309, 0.452
1, -41.333, 41.333, 36.7, 0.019, 0.021
2, 1.076, 41.333, 58.7, 0.322, 0.469
1, -41.218, 41.218, 36.3, 0.018, 0.021
2, 1.056, 41.218, 57.6, 0.318, 0.465
1, -41.467, 41.467, 36.0, 0.019, 0.021
2, 1.074, 41.467, 58.6, 0.325, 0.474
1, -41.220, 41.220, 36.2, 0.018, 0.021
2, 1.060, 41.220, 57.8, 0.318, 0.465
1, -40.171, 40.171, 39.4, 0.017, 0.020
2, -40.171, 40.171, 54.3, 0.292, 0.428
1, -39.014, 39.014, 32.6, 0.016, 0.018
2, -39.014, 39.014, 50.1, 0.265, 0.391
1, -39.847, 39.847, 34.2, 0.017, 0.019
2, -39.847, 39.847, 53.8, 0.285, 0.418
1, -40.259, 40.259, 35.3, 0.017, 0.020
2, 1.017, 40.259, 55.5, 0.295, 0.431
1, -39.747, 39.747, 38.7, 0.017, 0.019
