[0.4229, 0.048, 14.26, 1.146, 0.272],  -60.803
[0.4318, 0.0472, 14.25, 1.1445, 0.2751],  -61.151
[0.4363, 0.046, 14.245, 1.1437, 0.2767],  -61.918
[0.4296, 0.047, 14.2525, 1.1449, 0.2744],  -61.345
[0.4352, 0.047, 14.2525, 1.1449, 0.2744],  -61.164
[0.4326, 0.0472, 14.24, 1.1444, 0.2754],  -61.13
[0.4345, 0.0468, 14.248, 1.1437, 0.2745],  -61.365
[0.4358, 0.0464, 14.2323, 1.1454, 0.2751],  -61.681
[0.4359, 0.0461, 14.2521, 1.1447, 0.2746],  -61.857
[0.4348, 0.0468, 14.2492, 1.1447, 0.2747],  -61.394
[0.4361, 0.0461, 14.2485, 1.1442, 0.2756],  -61.891
[0.4329, 0.0465, 14.2487, 1.1443, 0.2755],  -61.627
[0.4344, 0.0464, 14.2557, 1.1435, 0.2758],  -61.692
[0.4347, 0.0462, 14.2515, 1.1443, 0.2761],  -61.872
[0.4342, 0.0461, 14.2526, 1.1438, 0.2762],  -61.945
[0.4353, 0.0461, 14.2488, 1.1438, 0.2764],  -61.927
[0.4345, 0.0461, 14.2521, 1.144, 0.2762],  -61.904
[0.4343, 0.0462, 14.2542, 1.1436, 0.276],  -61.818
[0.4336, 0.0462, 14.2528, 1.1437, 0.2763],  -61.839
[0.4352, 0.046, 14.2535, 1.1435, 0.2766],  -61.987
[0.4348, 0.046, 14.2498, 1.1439, 0.2767],  -62.025
[0.4342, 0.0461, 14.252, 1.1437, 0.2764],  -61.895
[0.435, 0.046, 14.2516, 1.1437, 0.2766],  -62.01
[0.435, 0.046, 14.2493, 1.1438, 0.2766],  -61.976
[0.4346, 0.046, 14.2509, 1.144, 0.2764],  -61.964
[0.4345, 0.0461, 14.2509, 1.1438, 0.2766],  -61.959
[0.4351, 0.046, 14.2498, 1.1438, 0.2767],  -61.991
[0.4347, 0.046, 14.2506, 1.1438, 0.2766],  -61.978
[0.4352, 0.046, 14.2495, 1.1437, 0.2769],  -62.027
[0.4349, 0.046, 14.2512, 1.1437, 0.2768],  -62.038
[0.435, 0.046, 14.2504, 1.1437, 0.2768],  -62.033
[0.4348, 0.046, 14.2505, 1.1438, 0.2768],  -62.032
[0.4349, 0.046, 14.2514, 1.1437, 0.2767],  -62.02
[0.4348, 0.046, 14.2509, 1.1438, 0.2767],  -62.008
[0.4348, 0.046, 14.2512, 1.1437, 0.2768],  -62.04
[0.4347, 0.0459, 14.2516, 1.1437, 0.2768],  -62.051
[0.4348, 0.046, 14.251, 1.1438, 0.2768],  -62.023
[0.4348, 0.046, 14.2504, 1.1438, 0.2769],  -62.041
[0.4348, 0.046, 14.2509, 1.1438, 0.2768],  -62.031
[0.4348, 0.0459, 14.251, 1.1437, 0.2768],  -62.05
[0.4348, 0.046, 14.2514, 1.1437, 0.2768],  -62.04
[0.4349, 0.046, 14.251, 1.1437, 0.2768],  -62.038
