[0.4341, 0.0459, 14.2516, 1.1438, 0.2767],  0.976
[0.4458, 0.0459, 14.2516, 1.1438, 0.2767],  -62.716
[0.4392, 0.0465, 14.2468, 1.1406, 0.2785],  -62.405
[0.4425, 0.0462, 14.2492, 1.1422, 0.2776],  -62.563
[0.4415, 0.0462, 14.2557, 1.1432, 0.2772],  -62.628
[0.4439, 0.0461, 14.26, 1.1415, 0.2752],  -62.591
[0.4441, 0.0461, 14.2287, 1.1446, 0.2762],  -62.658
[0.4472, 0.0463, 14.2465, 1.1423, 0.2765],  -62.372
[0.4454, 0.0462, 14.2478, 1.1427, 0.2765],  -62.502
[0.4445, 0.0461, 14.2484, 1.1429, 0.2766],  -62.562
[0.4436, 0.046, 14.2537, 1.1435, 0.2769],  -62.672
[0.4448, 0.046, 14.2558, 1.1427, 0.276],  -62.657
[0.4441, 0.0461, 14.2504, 1.143, 0.2771],  -62.639
[0.4442, 0.046, 14.2506, 1.1435, 0.2766],  -62.709
[0.4441, 0.046, 14.2647, 1.1424, 0.2769],  -62.673
[0.4449, 0.0459, 14.2601, 1.1434, 0.2761],  -62.734
[0.4442, 0.046, 14.2565, 1.144, 0.2774],  -62.741
[0.4442, 0.046, 14.2606, 1.1432, 0.2771],  -62.707
[0.4439, 0.046, 14.2551, 1.1438, 0.2772],  -62.706
[0.4434, 0.046, 14.2596, 1.1435, 0.2772],  -62.72
[0.4439, 0.046, 14.2625, 1.1435, 0.2772],  -62.723
[0.4433, 0.046, 14.2594, 1.1435, 0.2777],  -62.704
[0.4436, 0.046, 14.2591, 1.1435, 0.2774],  -62.713
[0.4438, 0.046, 14.2642, 1.1433, 0.2774],  -62.733
[0.4434, 0.046, 14.2602, 1.1439, 0.2775],  -62.745
[0.443, 0.046, 14.2599, 1.1442, 0.2776],  -62.764
[0.4437, 0.0459, 14.262, 1.1439, 0.2773],  -62.763
[0.4436, 0.046, 14.2603, 1.1436, 0.2773],  -62.732
[0.4434, 0.0459, 14.2587, 1.1441, 0.2775],  -62.77
[0.4436, 0.046, 14.2603, 1.1438, 0.2774],  -62.74
[0.4437, 0.046, 14.2618, 1.1437, 0.2774],  -62.745
[0.4436, 0.046, 14.26, 1.1439, 0.2774],  -62.748
[0.4438, 0.046, 14.2585, 1.144, 0.2774],  -62.75
[0.4434, 0.0459, 14.2578, 1.1444, 0.2775],  -62.773
[0.4434, 0.0459, 14.2583, 1.1443, 0.2775],  -62.772
[0.4432, 0.046, 14.2589, 1.1443, 0.2776],  -62.769
[0.4436, 0.0459, 14.2599, 1.1441, 0.2774],  -62.768
[0.4436, 0.0459, 14.2582, 1.1442, 0.2774],  -62.766
[0.4434, 0.0459, 14.2583, 1.1444, 0.2775],  -62.773
[0.4432, 0.0459, 14.2591, 1.1444, 0.2775],  -62.779
[0.4429, 0.0459, 14.2596, 1.1445, 0.2776],  -62.786
[0.443, 0.0459, 14.2572, 1.1446, 0.2777],  -62.785
[0.4432, 0.0459, 14.2587, 1.1445, 0.2775],  -62.779
[0.4432, 0.0459, 14.2589, 1.1444, 0.2776],  -62.779
[0.4431, 0.0459, 14.2592, 1.1444, 0.2776],  -62.782
[0.4431, 0.0459, 14.2589, 1.1445, 0.2776],  -62.781
[0.4432, 0.0459, 14.2597, 1.1443, 0.2775],  -62.777
[0.4432, 0.0459, 14.2594, 1.1444, 0.2775],  -62.779
[0.443, 0.0459, 14.2594, 1.1445, 0.2776],  -62.784
[0.4431, 0.0459, 14.2593, 1.1444, 0.2776],  -62.781
[0.4429, 0.0459, 14.2599, 1.1445, 0.2776],  -62.786
[0.4428, 0.0459, 14.2605, 1.1445, 0.2776],  -62.789
[0.443, 0.0459, 14.2594, 1.1445, 0.2776],  -62.782
[0.4428, 0.0459, 14.2603, 1.1445, 0.2776],  -62.788
[0.443, 0.0459, 14.2595, 1.1445, 0.2776],  -62.784
[0.4428, 0.0459, 14.2604, 1.1445, 0.2776],  -62.789
[0.4429, 0.0459, 14.26, 1.1445, 0.2776],  -62.787
[0.4429, 0.0459, 14.2599, 1.1445, 0.2776],  -62.786
[0.4429, 0.0459, 14.26, 1.1445, 0.2776],  -62.786
[0.4428, 0.0459, 14.2604, 1.1445, 0.2776],  -62.789
[0.4427, 0.0459, 14.2606, 1.1445, 0.2776],  -62.791
[0.4428, 0.0459, 14.2601, 1.1445, 0.2776],  -62.787
[0.4428, 0.0459, 14.2601, 1.1445, 0.2776],  -62.787
[0.4428, 0.0459, 14.2602, 1.1445, 0.2776],  -62.788
[0.4428, 0.0459, 14.2606, 1.1445, 0.2776],  -62.79
[0.4427, 0.0459, 14.2608, 1.1445, 0.2776],  -62.791
[0.4426, 0.0459, 14.2611, 1.1445, 0.2776],  -62.793
[0.4427, 0.0459, 14.261, 1.1445, 0.2776],  -62.793
[0.4428, 0.0459, 14.2606, 1.1445, 0.2776],  -62.79
[0.4426, 0.0459, 14.2611, 1.1446, 0.2776],  -62.794
[0.4426, 0.0459, 14.2612, 1.1446, 0.2777],  -62.795
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4427, 0.0459, 14.2608, 1.1445, 0.2776],  -62.792
[0.4426, 0.0459, 14.2613, 1.1446, 0.2777],  -62.796
[0.4426, 0.0459, 14.2613, 1.1446, 0.2777],  -62.795
[0.4426, 0.0459, 14.2613, 1.1446, 0.2777],  -62.795
[0.4426, 0.0459, 14.2612, 1.1446, 0.2777],  -62.794
[0.4426, 0.0459, 14.261, 1.1446, 0.2776],  -62.794
[0.4425, 0.0459, 14.2614, 1.1446, 0.2777],  -62.796
[0.4425, 0.0459, 14.2614, 1.1446, 0.2777],  -62.796
[0.4425, 0.0459, 14.2614, 1.1446, 0.2777],  -62.796
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
[0.4425, 0.0459, 14.2615, 1.1446, 0.2777],  -62.797
