Model, Load, Name, Value (cm), Max Mises Stress (Pa), Max Displacement (cm), V (cm^3), SA (cm^2), SA:V (1/cm)
1, 2, L, 14.000, 236782864, 2.0471, 2.567, 58.904, 22.94751
2, 2, L, 20.000, 336068608, 4.4441, 3.551, 79.742, 22.45343
3, 2, L11, 0.400, 302467392, 3.0554, 3.110, 69.576, 22.37115
4, 2, L11, 0.600, 288549760, 3.2890, 3.013, 69.103, 22.93303
5, 2, W, 2.000, 306302560, 3.1848, 2.683, 61.222, 22.81815
6, 2, W, 3.000, 270493216, 2.9974, 3.428, 77.208, 22.51987
7, 2, W3, 0.200, 330832544, 3.6133, 2.838, 65.076, 22.93376
8, 2, W3, 0.400, 335829248, 2.8520, 3.283, 74.074, 22.56318
9, 2, W4, 0.200, 281929408, 3.0190, 2.848, 65.220, 22.90221
10, 2, W4, 0.500, 332433632, 3.0775, 3.261, 73.357, 22.49479
11, 2, T, 0.300, 581216832, 8.3126, 2.055, 61.526, 29.94655
12, 2, T, 0.500, 174262480, 1.4099, 4.206, 76.741, 18.24449
13, 2, T1, 0.100, 331364000, 3.1865, 2.990, 68.552, 22.92564
14, 2, T1, 0.400, 288313120, 2.9825, 3.101, 70.419, 22.70808
15, 2, h4, 1.200, 286076992, 2.7833, 3.007, 67.186, 22.34095
16, 2, h4, 2.000, 285381056, 3.4322, 3.118, 71.630, 22.97118
17, 2, h7, 0.000, 281122112, 3.2041, 3.068, 69.890, 22.78044
18, 2, h7, 0.600, 280723936, 2.9498, 3.049, 68.678, 22.52794
19, 2, T2, 0.150, 414597696, 4.3698, 2.123, 71.357, 33.61896
20, 2, T2, 0.350, 223353120, 2.4940, 3.873, 67.698, 17.48172
21, 2, T3, 0.150, 295573120, 3.4047, 2.937, 69.320, 23.60290
22, 2, T3, 0.350, 262959312, 2.8051, 3.173, 69.123, 21.78303
