Model, Load, Name, Value (cm), Max Mises Stress (Pa), Max Displacement (cm), V (cm^3), SA (cm^2), SA:V (1/cm)
1, 2, L, 14.000, 14206951, 0.1228, 2.567, 58.904, 22.94751
2, 2, L, 20.000, 20164102, 0.2666, 3.551, 79.742, 22.45343
3, 2, L11, 0.400, 18148024, 0.1833, 3.110, 69.576, 22.37115
4, 2, L11, 0.600, 17312986, 0.1973, 3.013, 69.103, 22.93303
5, 2, W, 2.000, 18378234, 0.1911, 2.683, 61.222, 22.81815
6, 2, W, 3.000, 16229579, 0.1798, 3.428, 77.208, 22.51987
7, 2, W3, 0.200, 19849948, 0.2168, 2.838, 65.076, 22.93376
8, 2, W3, 0.400, 20149748, 0.1711, 3.283, 74.074, 22.56318
9, 2, W4, 0.200, 16915754, 0.1811, 2.848, 65.220, 22.90221
10, 2, W4, 0.500, 19946012, 0.1847, 3.261, 73.357, 22.49479
11, 2, T, 0.300, 34873000, 0.4988, 2.055, 61.526, 29.94655
12, 2, T, 0.500, 10455746, 0.0846, 4.206, 76.741, 18.24449
13, 2, T1, 0.100, 19881832, 0.1912, 2.990, 68.552, 22.92564
14, 2, T1, 0.400, 17298782, 0.1790, 3.101, 70.419, 22.70808
15, 2, h4, 1.200, 17164614, 0.1670, 3.007, 67.186, 22.34095
16, 2, h4, 2.000, 17122850, 0.2059, 3.118, 71.630, 22.97118
17, 2, h7, 0.000, 16867320, 0.1922, 3.068, 69.890, 22.78044
18, 2, h7, 0.600, 16843444, 0.1770, 3.049, 68.678, 22.52794
19, 2, T2, 0.150, 24875852, 0.2622, 2.123, 71.357, 33.61896
20, 2, T2, 0.350, 13401183, 0.1496, 3.873, 67.698, 17.48172
21, 2, T3, 0.150, 17734382, 0.2043, 2.937, 69.320, 23.60290
22, 2, T3, 0.350, 15777554, 0.1683, 3.173, 69.123, 21.78303
