name, val, j, V, SA, SA:V
L, 14.000, 0, 2.708, 61.390, 22.67184
L, 17.000, 1, 3.228, 72.209, 22.37194
L, 20.000, 2, 3.745, 83.248, 22.22706
L1, 0.320, 0, 3.162, 71.172, 22.51039
L1, 0.380, 1, 3.228, 72.209, 22.37194
L1, 0.440, 2, 3.290, 73.418, 22.31482
L11, 0.400, 0, 3.275, 72.573, 22.15996
L11, 0.500, 1, 3.228, 72.209, 22.37194
L11, 0.600, 2, 3.181, 72.106, 22.67005
L2, 0.550, 0, 3.283, 73.972, 22.53314
L2, 0.750, 1, 3.228, 72.209, 22.37194
L2, 0.950, 2, 3.179, 70.801, 22.27111
W, 2.000, 0, 2.824, 63.817, 22.59926
W, 2.500, 1, 3.228, 72.209, 22.37194
W, 3.000, 2, 3.620, 80.608, 22.26735
W3, 0.250, 0, 2.991, 67.758, 22.65680
W3, 0.350, 1, 3.228, 72.209, 22.37194
W3, 0.450, 2, 3.426, 76.786, 22.41375
W4, 0.200, 0, 3.019, 68.218, 22.59640
W4, 0.350, 1, 3.228, 72.209, 22.37194
W4, 0.500, 2, 3.436, 76.339, 22.21468
W21, 0.860, 0, 3.220, 72.084, 22.38291
W21, 0.900, 1, 3.228, 72.209, 22.37194
W21, 0.940, 2, 3.228, 72.356, 22.41768
W22, 0.500, 0, 3.226, 72.153, 22.36594
W22, 0.530, 1, 3.228, 72.209, 22.37194
W22, 0.560, 2, 3.227, 72.284, 22.39753
W23, 0.020, 0, 3.228, 72.209, 22.37194
W23, 0.050, 1, 3.228, 72.209, 22.37194
W23, 0.080, 2, 3.228, 72.209, 22.37194
T, 0.300, 0, 2.168, 64.270, 29.64410
T, 0.400, 1, 3.228, 72.209, 22.37194
T, 0.500, 2, 4.438, 80.010, 18.02836
T1, 0.100, 0, 3.154, 71.474, 22.66105
T1, 0.250, 1, 3.228, 72.209, 22.37194
T1, 0.400, 2, 3.281, 73.601, 22.43359
h4, 1.200, 0, 3.177, 70.183, 22.09147
h4, 1.600, 1, 3.228, 72.209, 22.37194
h4, 2.000, 2, 3.292, 74.623, 22.67096
h7, 0.000, 0, 3.232, 72.890, 22.55545
h7, 0.300, 1, 3.228, 72.209, 22.37194
h7, 0.600, 2, 3.221, 71.659, 22.24940
h2, 0.450, 0, 3.221, 72.305, 22.44479
h2, 0.500, 1, 3.228, 72.209, 22.37194
h2, 0.550, 2, 3.226, 72.012, 22.32407
h6, 0.500, 0, 3.174, 71.126, 22.41092
h6, 0.600, 1, 3.228, 72.209, 22.37194
h6, 0.700, 2, 3.282, 73.296, 22.33440
T2, 0.150, 0, 2.250, 74.648, 33.18071
T2, 0.250, 1, 3.228, 72.209, 22.37194
T2, 0.350, 2, 4.079, 70.626, 17.31576
T3, 0.150, 0, 3.092, 72.353, 23.40254
T3, 0.250, 1, 3.228, 72.209, 22.37194
T3, 0.350, 2, 3.362, 72.085, 21.44107
